"playlist_genre","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","decade","duration_sec"
"rap",0.598,0.856,9,-6.204,0,0.306,0.219,0,0.291,0.779,173.929,"1990s",272.627
"rap",0.679,0.755,1,-4.062,0,0.33,0.0438,0,0.445,0.627,183.973,"1990s",282.8
"rap",0.865,0.924,1,-3.489,1,0.226,0.145,4.43e-05,0.383,0.557,97.523,"1990s",277.267
"rap",0.667,0.411,6,-12.624,0,0.108,0.0856,0.00197,0.0916,0.1,128.05,"2010s",225
"rap",0.52,0.506,8,-10.224,0,0.337,0.564,1.27e-05,0.105,0.326,129.225,"2010s",264.186
"r&b",0.449,0.598,3,-4.92,0,0.269,0.375,0,0.105,0.689,48.981,"2010s",198.621
"rap",0.743,0.655,8,-4.409,1,0.121,0.405,1.11e-06,0.134,0.542,77.509,"2010s",191.516
"r&b",0.513,0.379,1,-13.587,0,0.171,0.259,3.05e-05,0.0711,0.0619,85.645,"2010s",180.972
"edm",0.49,0.922,2,-3.149,1,0.0837,0.00555,0.644,0.507,0.155,129.989,"2010s",165
"rock",0.46,0.949,10,-4.701,1,0.0781,0.00224,0.0935,0.211,0.5,142.98,"2000s",196.4
"rock",0.536,0.55,10,-6.733,0,0.0248,0.0537,0,0.134,0.234,144.018,"2000s",238.56
"latin",0.551,0.574,10,-6.265,0,0.0263,0.0203,0,0.186,0.308,143.734,"2000s",232.013
"rock",0.545,0.865,11,-5.708,0,0.0286,0.00664,1.12e-05,0.168,0.543,99.01,"2000s",233.933
"rock",0.499,0.88,6,-6.424,0,0.0654,0.0108,2.76e-05,0.226,0.39,147.899,"2000s",264.8
"rock",0.496,0.765,7,-5.66,1,0.033,0.00457,0,0.104,0.337,74.072,"2000s",260.507
"rap",0.887,0.456,7,-8.192,0,0.145,0.389,0,0.104,0.417,121.01,"2010s",287.603
"rap",0.494,0.554,11,-9.284,0,0.31,0.384,0,0.145,0.45,88.052,"2010s",217.184
"rock",0.263,0.933,7,-4.468,1,0.143,1.44e-05,0.37,0.0982,0.429,133.991,"2010s",204.907
"r&b",0.656,0.655,7,-7.822,0,0.0938,0.375,0,0.699,0.421,147.927,"2010s",183.582
"r&b",0.712,0.605,9,-6.45,1,0.142,0.132,0,0.131,0.511,94.953,"2010s",214.49
"rap",0.614,0.884,7,-5.785,0,0.051,0.0192,0.427,0.117,0.45,140.006,"2010s",176.571
"r&b",0.729,0.569,4,-11.106,0,0.124,0.207,0.208,0.1,0.506,95.984,"2000s",186.507
"rock",0.425,0.681,1,-8.604,0,0.0316,0.0229,0.000219,0.0543,0.933,131.011,"1980s",279.333
"rock",0.549,0.707,9,-5.554,1,0.0304,0.00677,6.63e-05,0.0853,0.821,127.238,"2000s",279.893
"pop",0.571,0.752,3,-4.872,1,0.0293,0.0196,6.92e-05,0.114,0.25,102.043,"2010s",192.941
"edm",0.375,0.701,8,-3.462,0,0.0457,0.000173,1.27e-05,0.395,0.0927,127.953,"2010s",186.094
"edm",0.496,0.789,1,-3.648,1,0.0839,0.183,0,0.34,0.286,127.961,"2010s",210.469
"latin",0.643,0.742,9,-7.2,1,0.0412,0.0671,0.00379,0.161,0.294,125.001,"2010s",228.96
"edm",0.532,0.947,10,-3.718,1,0.228,0.119,0.00264,0.504,0.39,127.944,"2010s",180.938
"edm",0.576,0.797,11,-5.476,0,0.0499,0.0166,3.23e-05,0.21,0.137,110.051,"2010s",205.773
"pop",0.791,0.713,5,-3.742,0,0.254,0.0163,0,0.189,0.514,130.012,"2000s",192.573
"pop",0.682,0.889,0,-4.166,1,0.0804,0.00564,0,0.36,0.827,138.021,"2010s",192.44
"r&b",0.607,0.647,0,-7.275,1,0.0381,0.262,3.12e-06,0.112,0.447,89.993,"2010s",192.333
"rap",0.63,0.851,1,-4.61,1,0.319,0.00441,0.0218,0.0939,0.573,150.054,"2010s",224.052
"rock",0.298,0.974,4,-3.935,1,0.0696,0.000264,7.11e-06,0.269,0.569,160.541,"2010s",191.184
"pop",0.564,0.747,5,-3.374,1,0.0584,0.0728,0,0.151,0.717,97.878,"2010s",165.767
"pop",0.494,0.951,9,-4.237,1,0.132,0.000569,0,0.327,0.441,160.025,"2010s",202.496
"pop",0.755,0.448,3,-2.993,0,0.0405,0.0508,3.87e-06,0.11,0.431,139.028,"2010s",204.887
"pop",0.746,0.767,1,-2.907,0,0.0374,0.0601,1.07e-05,0.0859,0.773,94.007,"2010s",196.628
"edm",0.566,0.853,0,-3.57,1,0.0785,0.223,0,0.273,0.588,97.946,"2010s",206.939
"pop",0.596,0.854,7,-5.114,0,0.463,0.0169,0,0.124,0.152,120.274,"2010s",203.418
"rap",0.576,0.807,6,-3.908,0,0.317,0.353,0.000363,0.0512,0.908,90.012,"2000s",224.427
"rap",0.604,0.9,0,-2.935,0,0.0927,0.0183,0.000151,0.0728,0.422,190.029,"2000s",215.867
"rap",0.549,0.636,10,-3.923,0,0.376,0.395,0,0.0974,0.661,182.363,"2000s",251.547
"rap",0.619,0.578,11,-8.002,1,0.474,0.0214,3.37e-05,0.387,0.731,123.719,"2000s",208.144
"rap",0.504,0.782,1,-3.006,1,0.342,0.0506,0,0.0787,0.66,170.606,"2000s",248.893
"rap",0.587,0.966,6,-2.808,0,0.514,0.292,0,0.347,0.7,85.51,"2000s",254.907
"rap",0.66,0.911,11,-1.768,1,0.289,0.0297,0,0.0696,0.501,87.311,"2000s",269.36
"rap",0.666,0.715,2,-5.276,0,0.261,0.111,9.69e-06,0.23,0.725,88.046,"2000s",223.507
"rap",0.525,0.933,9,-4.673,1,0.356,0.159,0.000241,0.311,0.457,122.631,"2000s",223.72
"rap",0.886,0.626,11,-2.528,0,0.277,0.265,0,0.024,0.856,93.989,"2000s",196.627
"rap",0.899,0.713,6,-2.752,0,0.366,0.255,0,0.0708,0.777,90.051,"2000s",193.467
"rap",0.801,0.72,1,-5.155,1,0.303,0.184,0,0.241,0.492,90.024,"2000s",230.899
"rap",0.489,0.692,1,-6.672,1,0.41,0.0322,0.00608,0.315,0.527,96.946,"2000s",237.707
"rap",0.589,0.827,11,-2.938,1,0.384,0.0143,0.00151,0.14,0.386,161.978,"2000s",256.24
"rap",0.838,0.609,3,-5.643,0,0.219,0.341,0,0.0578,0.394,120.073,"2010s",268.487
"rap",0.77,0.595,8,-6.004,0,0.256,0.0225,0,0.0936,0.535,91.989,"2000s",247.06
